"","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc"
"4280",1434436,0,9,"Female","White",2015,"Computer Science","","","","Lead Product Designer","","Computers - General","Manchester","MA","Manchester, MA"
"4340",1385410,0,8,"Female","White",2013,"Computer Science","Information Technology","","","Librarian","","Libraries","Brooklyn","NY","Brooklyn, NY"
"4447",1396180,0,10,"Female","",2013,"Computer Science","","","","Maintenance Developer","","","Nobleboro","ME","Nobleboro, ME"
"4498",10047523,0,38,"Female","",1986,"Computer Science","","","","Manager","","","Weston","MA","Weston, MA"
"4596",10047517,0,37,"Female","",1985,"Computer Science","","","","Manager, Support Services & Programs","","","Encinitas","CA","Encinitas, CA"
"4851",496035,0,19,"Female","Asian",2003,"Computer Science","","Communications","","Media Editor","","","Randolph","MA","Randolph, MA"
"4982",10051851,0,35,"Female","White",1988,"Computer Science","Management","","","MIS Manager","","","Cambridge","MA","Cambridge, MA"
"5373",10048888,0,37,"Female","",1985,"Computer Science","Economics","","","Office Manager","","","Plymouth","MA","Plymouth, MA"
"5629",10051396,0,35,"Female","White",1987,"Computer Science","Finance","","","Owner","","","Wakefield","RI","Wakefield, RI"
"5631",10014137,0,35,"Female","White",1988,"Computer Science","Mathematics","","","Owner","","","Agoura Hills","CA","Agoura Hills, CA"
"5713",10051751,0,36,"Female","White",1986,"Computer Science","","","","Owner/ Chef","","","Glastonbury","CT","Glastonbury, CT"
"6421",1621657,0,10,"Female","White",2015,"Computer Science","","","","Physics and Chemistry Teacher","","Computers - General","Wayland","MA","Wayland, MA"
"6599",10052583,0,36,"Female","",1986,"Computer Science","","","","President","","","Wayland","MA","Wayland, MA"
"6664",109222,0,37,"Female","",1989,"Computer Science","Management","","","President/Founder","Manufacturing","Food Services/Catering/Restaurant","Snelville","GA","Snelville, GA"
"6769",457078,0,23,"Female","White",2002,"Computer Science","","Philosophy","","Privacy Researcher","","Education - Higher","Santa Cruz","CA","Santa Cruz, CA"
"6815",454102,0,23,"Female","White",2002,"Computer Science","","","","Product Manager, Community-Driven Innovation","","","Dorchester","MA","Dorchester, MA"
"7002",10049692,0,51,"Female","White",1985,"Computer Science","","","","Programmeer/Analyst","","","Westport","MA","Westport, MA"
"7004",250308,0,25,"Female","",1997,"Computer Science","","","","Programmer","","","Southampton","MA","Southampton, MA"
"7006",1892345,0,19,"Female","White",2004,"Computer Science","Mathematics","East Asian Studies","","Programmer Development","","Computers - System Design/Services","Framingham","MA","Framingham, MA"
"7007",376643,0,29,"Female","Asian",2001,"Computer Science","Mathematics","","","Programmer/ Analyst","","","Norwood","MA","Norwood, MA"
"7267",1480511,0,7,"Female","White",2016,"Computer Science","","","","Quality Analyst","","Computers - General","Brookline","MA","Brookline, MA"
"7269",799093,0,24,"Female","White",2008,"Computer Science","","","","Quality Assurance Analyst","","","Kittery","ME","Kittery, ME"
"7385",10053939,0,38,"Female","White",1985,"Communications","Computer Science","","","Realtor","","","Chevy Chase","MD","Chevy Chase, MD"
"8159",10048004,0,36,"Female","",1987,"Computer Science","Mathematics","","","Research Associate","","","Mountain View","CA","Mountain View, CA"
"8455",961639,0,13,"Female","Asian",2010,"Computer Science","","","","Sales Support Coordinator","","Telecom","Charlestown","MA","Charlestown, MA"
"8601",438511,0,20,"Female","White",2003,"Computer Science","","Management","","Senior Account Manager, Key Accounts","","Hotel/Hospitality/Tourism","Charlestown","MA","Charlestown, MA"
"8629",498157,0,20,"Female","Latino/a or Hispanic",2003,"Computer Science","Mathematics","","","Senior Application Developer","","Computers - General","Gilbert","AZ","Gilbert, AZ"
"8656",466339,0,21,"Female","White",2001,"Computer Science","","","","Senior Business Technology Consultant","","","Brighton","MA","Brighton, MA"
"8878",10050370,0,35,"Female","",1987,"Biology","Computer Science","","","Senior Software Engineer","","","Wilmington","MA","Wilmington, MA"
"9088",327423,0,24,"Female","White",1999,"Computer Science","","Mathematics","","Software Developer","","Telecom","Manalapan","NJ","Manalapan, NJ"
"9094",646443,0,16,"Female","Asian",2006,"Computer Science","Mathematics","","","Software Engineer","","","Winter Garden","FL","Winter Garden, FL"
"9095",275353,0,26,"Female","White",1997,"Computer Science","","","","Software Engingeer","","","Encinitas","CA","Encinitas, CA"
